Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;44440;0;0;244625;131245;0;0;375870;0;0;0;0;0;0;0;5951482;6327352;70749;493760;6891861;145289;1216112;8253262
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;44440;0;0;0;412;0;0;412;0;0;0;0;0;0;0;0;412;0;7933567;7933979;0;312482;8246461
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;44440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7552342;7552342;0;364825;7917166
AGIBANK - PRUDENCIAL;1000083694;b1;S4;I;2;CAMPINAS;SP;44440;332074;0;565260;5117803;0;0;6015137;0;0;0;588450;0;0;588450;0;6603587;0;508430;7112016;0;796547;7908563
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;I;1;ARACAJU;SE;44440;1088161;1915902;150138;2871453;2013;465;6028133;0;29011;0;30623;0;0;59634;148599;6236366;0;918700;7155066;9984;604561;7769612
VOLVO - PRUDENCIAL;1000080769;b2;S4;I;3;CURITIBA;PR;44440;0;0;892543;13541;0;0;906084;0;0;0;145241;0;0;145241;5122385;6173710;0;211363;6385073;2054;1310818;7697945
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;44440;714279;0;0;2846422;0;0;3560701;0;260281;696834;0;0;0;957115;1985;4519801;0;1518353;6038153;0;894232;6932385
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;I;2;RIO DE JANEIRO;RJ;44440;278763;0;0;2641549;0;21748;2942060;679597;24078;0;0;0;0;24078;1903;3647639;34255;1829125;5511019;694;1345286;6856998
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;I;2;SAO PAULO;SP;44440;171866;0;0;140;13184;0;185191;0;0;0;0;0;0;0;0;185191;0;495035;680225;44;6027278;6707548
HONDA - PRUDENCIAL;1000080611;b2;S4;I;3;SAO PAULO;SP;44440;0;0;1709386;133071;0;0;1842457;0;0;0;108045;0;0;108045;1150714;3101216;8649;1577658;4687523;805;2015444;6703771
