Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44075;193984;505;148711;0;1112;5201;349513;-144271;-1307;-427;0;-20660;-166664;182850;32151;53034;-88058;-65415;-17214;4926;3210;-29383;-106749;76101;163;76264;-26419;-5037;44808;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;44075;328481;0;17593;308;0;0;346382;0;-163275;0;0;-36331;-199606;146776;10333;0;-44390;-12678;-7699;0;4221;-6638;-56851;89925;1213;91138;-41844;-3311;45983;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;S4;I;3;RIO DE JANEIRO;RJ;44075;6085;331549;297;0;0;0;337931;-17061;0;-288928;0;629;-305360;32571;0;0;0;-14888;-1468;0;441;-1353;-17268;15303;406;15709;-7440;0;8270;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;44075;311014;22528;4112;-5205;0;0;332449;-94794;-44278;-17340;0;4132;-152280;180169;0;6374;-16929;-25616;-8833;0;7057;-22135;-60082;120087;194;120281;-52968;0;67313;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;44075;314332;0;11237;0;18;0;325587;-14398;-6506;0;0;157523;136618;462205;70967;30600;-17345;-184373;-22931;0;7930;-338887;-454039;8166;448;8614;-2229;0;6385;0
AGIBANK - PRUDENCIAL;1000083694;b1;S4;C;2;PORTO ALEGRE;RS;44075;314060;0;4158;858;19;0;319095;-20929;0;0;0;-64990;-85920;233175;2239;5805;-20637;-156902;-15367;7521;1864;-11040;-186516;46659;29;46687;-13485;-1279;31923;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;44075;283125;0;3147;0;0;0;286271;-16591;0;0;0;-166001;-182592;103679;219385;54762;-38183;-195199;-38884;0;20069;-69975;-48026;55653;202;55855;-22728;-2332;30795;0
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44075;22619;0;87314;-110325;279432;0;279039;-42301;-142328;0;0;-266;-184895;94144;16591;0;-34433;-16216;-6346;0;112879;-154479;-82003;12141;0;12141;-4318;-1850;5974;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44075;70335;0;44576;100323;58097;0;273332;-15743;-231750;0;0;-430;-247923;25409;6569;123;-31321;-19797;-6500;0;149821;-97329;1566;26975;25;27001;-13821;0;13180;0
ICBC DO BRASIL BM S.A. - PRUDENCIAL;1000081830;b1;S4;I;3;SAO PAULO;SP;44075;58766;0;10592;0;202025;0;271383;-7089;-204088;0;0;-3197;-214374;57009;3556;15;-7513;-3997;-1058;0;3323;-45876;-51549;5459;-8359;-2900;-2643;0;-5543;0
