Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;44256;58415;0;0;1692225;0;759;1751399;0;0;0;0;0;0;0;7245;1758644;0;6529189;8287834;0;551210;8839044
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;44256;161171;0;3661;2215742;0;0;2380574;55000;0;0;0;0;0;0;3481711;5917285;98472;918979;6934736;2398;1841408;8778543
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;44256;0;0;600981;214234;0;0;815214;0;0;499543;0;0;0;499543;4425613;5740370;8877;799667;6548914;17987;1963098;8530000
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;44256;88865;0;73828;1310270;0;0;1472963;1394960;0;250;37514;0;0;37764;2419338;5325025;209495;2065760;7600280;625;770943;8371849
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;I;3;SAO PAULO;SP;44256;0;0;604334;353765;0;0;958098;0;311;0;2746290;0;0;2746601;2640605;6345304;86477;673881;7105663;30157;1190331;8326151
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;44256;1345403;0;0;2731740;0;6481;4083624;0;9844;1387281;0;0;0;1397125;1084;5481833;0;886297;6368130;0;1817079;8185209
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;44256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7758395;7758395;0;416563;8174957
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S4;I;2;BLUMENAU;SC;44256;1387290;0;105678;4301279;0;27300;5821547;0;0;0;0;0;0;0;2494;5824042;0;361258;6185300;0;1877106;8062406
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;44256;232443;0;41085;3816536;0;0;4090064;100559;273840;504532;1683006;68147;0;2529525;47182;6767331;738;365438;7133506;438;873529;8007473
MERCADOPAGO PRUDENCIAL;1000084820;n1;;C;2;OSASCO;SP;44256;0;0;130205;247595;1889379;0;2267179;0;0;0;0;0;0;0;678470;2945649;0;4663131;7608780;0;340390;7949170
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;44256;0;0;0;126132;0;0;126132;0;0;0;0;0;0;0;6046409;6172542;1706;457993;6632241;141279;1146428;7919948
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;44256;0;0;0;403;0;0;403;0;0;0;0;0;0;0;0;403;0;7111977;7112380;0;311723;7424103
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;44256;1067630;1880783;152232;2624067;2014;243;5726969;10033;33544;0;47355;0;0;80899;132321;5950222;0;866533;6816755;10288;554934;7381977
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;44256;0;0;0;565386;0;0;565386;0;0;0;0;0;0;0;0;565386;0;6420046;6985432;0;265388;7250819
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;44256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6341707;6341707;0;320371;6662078
MÁXIMA - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;44256;116805;0;0;4773644;39;0;4890488;148924;276582;0;130913;0;0;407495;0;5446906;2004;757480;6206390;0;434926;6641317
