Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;43525;233191;10188;11771;32740;0;0;287890;-50256;-78714;-7672;0;-5371;-142013;145878;0;14529;-15616;-47809;-10430;0;8439;-6273;-57159;88719;-3150;85569;-32861;-3591;49117;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;43525;275110;0;9667;0;0;0;284776;-15632;0;0;-5;-174440;-190077;94700;24451;50019;-6705;-94953;-16407;0;20817;-18498;-41276;53424;33;53457;-27260;-31;26165;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;43525;256167;19558;857;0;0;0;276582;-58807;-79868;-13235;0;1220;-150689;125893;2;5282;-20321;-20220;-6806;0;24990;-12128;-29201;96692;1208;97900;-38348;0;59552;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;43525;244564;0;11688;-124;0;0;256127;-24624;-4670;0;0;-118309;-147604;108523;180380;47238;-32643;-110842;-31864;0;14507;-74151;-7374;101149;0;101149;-37900;-3190;60059;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;43525;203191;0;24416;8915;0;0;236521;-58069;-10451;0;0;-44794;-113314;123207;217541;18690;-6972;-257289;-34555;0;32834;-12987;-42738;80469;204;80673;-42763;0;37910;0
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;43525;6639;0;240708;-13466;1374;0;235254;-207594;-3213;0;0;508;-210300;24954;8170;0;-10742;-6580;-1473;0;910;-1371;-11086;13868;0;13868;-4835;-886;8147;0
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;43525;205550;0;26878;184;0;0;232611;-77887;-39;0;0;-210;-78136;154476;2348;56;-14790;-41006;-7193;14049;1119;-3030;-48446;106030;4;106034;-30287;0;75747;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43525;59354;0;103619;64605;1300;0;228878;-32242;-300779;0;0;2415;-330606;-101728;6800;212;-34760;-20784;-6341;0;216848;-50091;111884;10156;-13;10143;-6909;0;3234;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;43525;208610;4500;6551;-2233;0;0;217428;-26304;-72102;-4073;0;-118126;-220605;-3176;1135;3;-10266;-11304;-5361;2489;1184;-2739;-24859;-28035;108;-27928;9998;-1246;-19176;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;43525;164903;0;41027;0;0;0;205930;-47636;-4437;0;0;-25740;-77813;128117;18519;9331;-28888;-42279;-153;0;439;-11035;-54066;74051;229;74280;0;-3012;71268;0
