Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;;I;2;LUCAS DO RIO VERDE;MT;41791;5630;0;17;1037946;-75130;962815;0;0;0;0;0;25514;394373;69221;1457570;0;1457570
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;41791;124;20293;335521;1080411;-23223;1057189;0;0;0;0;0;3904;8190;19714;1444935;0;1444935
RENDIMENTO - PRUDENCIAL;1000080659;b1;;C;2;SAO PAULO;SP;41791;335087;236134;64860;353782;-21571;332211;0;0;0;0;0;415026;34545;26669;1444531;0;1444531
STANDARD CHARTERED BI S.A. - PRUDENCIAL;1000081373;b2;;I;3;SAO PAULO;SP;41791;2117;477391;510986;0;0;0;0;0;0;0;0;424628;476;699;1416297;0;1416297
AF DESENVOLVE SP S.A. - PRUDENCIAL;1000081153;n1;;I;1;SAO PAULO;SP;41791;0;11699;460417;883537;-29151;854386;0;0;0;0;0;27158;6264;6419;1366343;0;1366343
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;;I;2;MARINGA;PR;41791;18490;0;0;809398;-46100;763298;0;0;0;0;0;37247;420264;76877;1316175;0;1316175
AF PARANÁ - PRUDENCIAL;1000081115;n1;;I;1;CURITIBA;PR;41791;29;0;561384;727781;-6318;721462;0;0;0;0;0;10029;165;1145;1294214;0;1294214
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;;I;2;NOVA PETROPOLIS;RS;41791;13933;0;69136;643639;-36349;607290;0;0;0;0;0;26489;495249;62986;1275082;0;1275082
BANIF - PRUDENCIAL;1000080130;b1;;C;3;SAO PAULO;SP;41791;7382;42263;295892;627726;-280405;347321;0;0;0;0;0;456912;115611;5769;1271150;0;1271150
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;;I;3;SAO PAULO;SP;41791;6567;208491;541251;88316;-257;88059;0;0;0;0;0;391221;1142;3834;1240564;0;1240564
