Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA RECKITT BENCKISER;44223196;b3S;;I;2;SAO PAULO;SP;01/06/2016;318;0;0;0;0;0;318;0;0;0;0;1;1;320;0;0;0;-149;0;0;0;0;-149;171;0;171;0;0;171;-124
HR SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;20158571;n1;;I;2;MACEIO;AL;01/06/2016;312;0;3;0;0;0;316;0;1;0;0;-155;-156;160;0;0;-93;-98;-14;0;0;1;-206;-46;1;-45;-2;0;-47;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA CNC SESC E SENAC ADMINISTRAÇÕES NACIONAIS LTDA;30304919;b3S;;I;2;RIO DE JANEIRO;RJ;01/06/2016;315;0;0;0;0;0;315;0;0;0;0;19;19;334;0;0;-45;-42;0;0;0;0;-87;247;0;247;0;0;247;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA COOPEDER LTDA. - CREDER;21130869;b3S;;I;2;BELO HORIZONTE;MG;01/06/2016;261;0;51;0;0;0;313;0;0;0;0;-27;-27;286;0;0;-156;-154;-2;0;62;-3;-253;33;29;62;-1;0;61;0
GÁVEA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;7253654;n2;;I;2;RIO DE JANEIRO;RJ;01/06/2016;0;0;311;0;0;0;311;0;0;0;0;0;0;311;3194;0;-319;-654;-227;0;0;0;1993;2305;-8;2297;-944;-160;1193;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA GERDAU S/A-UNIDADE MOGI DAS CRUZES;52575206;b3S;;I;2;MOGI DAS CRUZES;SP;01/06/2016;186;0;125;0;0;0;311;0;0;0;0;-9;-9;302;0;0;-115;-65;1;0;13;-2;-169;133;0;133;0;0;133;0
COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS E PRESTADORES DE SERVIÇOS DAS EMPRESAS LIGADAS AO GRUPO EUCATUR LTDA. - EUCATURCREDI;21110927;b3S;;I;2;JI-PARANA;RO;01/06/2016;285;0;23;0;0;0;308;-33;-2;0;0;-6;-42;267;16;5;-41;-95;0;0;0;-35;-150;117;0;117;0;0;117;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DO VESTUÁRIO, CONFECÇÕES E ROCHAS ORNAMENTAIS - CREDSUL.;2330334;b3S;;I;2;CACHOEIRO DE ITAPEMIRIM;ES;01/06/2016;308;0;0;0;0;0;308;-26;0;0;0;-83;-109;199;29;0;-132;-119;1;0;0;0;-223;-24;0;-24;0;0;-24;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA (UESB) - CREDIUESB;3606488;b3S;;I;2;VITORIA DA CONQUISTA;BA;01/06/2016;257;0;49;0;0;0;306;-51;-1;0;0;-29;-81;225;17;4;-115;-117;0;0;25;0;-185;40;0;40;0;0;40;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA DANA;50654300;b3S;;I;2;OSASCO;SP;01/06/2016;220;0;83;0;0;0;303;0;0;0;0;1;1;304;0;0;0;-155;-4;0;0;0;-159;145;0;145;-25;0;120;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DOS SUPERMERCADOS RUSSI;2230138;b3S;;I;2;JUNDIAI;SP;01/06/2016;301;0;0;0;0;0;301;0;0;0;0;-33;-33;269;0;0;-81;-44;1;0;50;0;-77;192;0;192;0;-7;185;-125
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DE ESTABELECIMENTOS HOSPITALARES DO SUL DO ESTADO DO ESPIRITO SANTO - SULCRED;31746993;b3S;;I;2;CACHOEIRO DE ITAPEMIRIM;ES;01/06/2016;300;0;0;0;0;0;300;0;0;0;0;-1142;-1142;-842;2;0;-113;-75;0;0;752;-2;562;-280;0;-280;0;0;-280;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DA CIA DE ELETRICIDADE DO ESTADO DO RJ CREDICERJ LTDA;30138226;b3S;;I;2;NITEROI;RJ;01/06/2016;300;0;0;0;0;0;300;-8;0;0;0;-19;-28;272;0;0;-146;-161;1;0;79;-31;-259;13;5;18;0;0;18;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA UNESP - COOPUNESP;69136075;b3S;;I;2;RIO CLARO;SP;01/06/2016;230;0;66;0;0;0;296;-51;0;0;0;-4;-55;241;0;0;0;-177;0;0;16;-1;-162;79;0;79;0;0;79;0
UNICREF - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA UNIMED DE MANAUS LTDA.;34503581;b3S;;I;2;MANAUS;AM;01/06/2016;260;0;35;0;0;0;295;0;0;0;0;-54;-54;241;0;0;-89;-105;0;0;3;-7;-198;43;8;51;0;0;51;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ELGIN;45045671;b3S;;I;2;MOGI DAS CRUZES;SP;01/06/2016;223;0;66;0;0;0;289;0;0;0;0;-7;-7;282;0;0;0;-126;0;0;31;-10;-104;177;0;177;0;0;177;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DO GRUPO MAUA LTDA;5048575;b3S;;I;2;SAO GONCALO;RJ;01/06/2016;214;0;68;0;0;0;282;0;0;0;0;-5;-5;277;12;0;-57;-103;0;0;1;-2;-149;128;0;128;-10;0;118;0
SICOOB CREDICONT - COOPERATIVA ECONOMIA CRÉDITO MÚTUO EMPREGADOS EMPRESAS INDUSTRIAIS, COMERCIAIS,DE ASSIST. TÉCNICA E LOCADORAS, NAS ÁREAS DE METALURGIA E MAT. ELÉTRICO REGIÕES SÃO PAULO E CAMPINAS;56882988;b3S;;I;2;HORTOLANDIA;SP;01/06/2016;260;0;20;0;0;0;281;0;0;0;0;-574;-574;-293;0;0;-28;-303;0;0;10;0;-321;-614;0;-614;0;0;-614;0
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DO ALTO DO VALE DO TAQUARI - CRESOL ILOPOLIS;7356021;b3S;;I;2;ILOPOLIS;RS;01/06/2016;207;0;74;0;0;0;280;-103;-24;0;0;-66;-194;87;20;1;-52;-76;0;0;0;-46;-153;-67;2;-65;0;0;-65;0
COOPERATIVA DE CRÉDITO DOS FUNCIONÁRIOS DO GRUPO PPG;3657230;b3S;;I;2;SUMARE;SP;01/06/2016;273;0;7;0;0;0;280;0;0;0;0;1;1;279;0;0;-126;-66;1;0;10;0;-183;96;0;96;0;0;96;0
ADVALOR DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;33824012;n2;;I;2;RIO DE JANEIRO;RJ;01/06/2016;0;0;273;0;0;0;273;0;0;0;0;0;0;273;24;0;-330;-282;-14;0;0;0;-602;-328;0;-329;0;0;-329;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS  EMPREGADOS DO BANCO DA AMAZÔNIA;2827982;b3S;;I;2;BELEM;PA;01/06/2016;272;0;0;0;0;0;272;-15;0;0;0;-4;-19;253;21;0;-199;-97;0;0;19;0;-257;-4;-4;-8;0;0;-8;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS DE DIVERSÕES DO ESTADO DE SÃO PAULO;68314921;b3S;;I;2;SAO PAULO;SP;01/06/2016;157;0;112;0;0;0;269;0;-60;0;0;-10;-70;199;0;0;0;-107;0;9;0;-3;-102;98;0;98;0;0;98;0
COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA CAMDA-COCREALPA - CREDI-CAMDA;5165103;b3S;;I;2;ADAMANTINA;SP;01/06/2016;171;0;98;0;0;0;268;0;0;0;0;-34;-34;235;68;0;-35;-73;0;0;44;0;3;238;0;238;-24;0;214;-148
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE MARILENA - CRESOL MARILENA;11212010;b3S;;I;2;MARILENA;PR;01/06/2016;212;0;56;0;0;0;268;-35;-56;0;0;-263;-355;-87;18;28;-80;-94;0;0;6;-38;-160;-247;-7;-254;-2;-2;-257;0
