Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA GERAL;51815;b1;C;3;;199;SAO PAULO;SP;set/16;705.221;22.555;140.303;357.441;94.657;0;0;40.930;39.994;9.341;0
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;;8;SAO PAULO;SP;set/16;702.247;119.291;394.097;110.239;0;0;32.277;0;0;46.343;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;;30;SALVADOR;BA;set/16;695.771;142.998;147.948;201.902;127.204;11.771;7.511;25.581;685;30.172;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;;9;PALOTINA;PR;set/16;679.799;0;236.252;306.718;48.676;24.836;17.374;10.909;7.383;27.652;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31815293;b3S;I;2;;9;SAO GABRIEL DA PALHA;ES;set/16;670.745;5.460;160.447;306.423;86.057;25.814;40.020;11.179;4.859;30.485;0
DACASA FINANCEIRA;51891;n1;C;2;;197;VITORIA;ES;set/16;667.045;0;386.385;31.836;27.145;22.833;23.269;21.644;21.699;132.233;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB CREDICOONAI;53923116;b3S;I;2;;9;RIBEIRAO PRETO;SP;set/16;666.227;1.717;404.918;157.204;39.644;44.345;11.556;1.930;330;4.582;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;set/16;659.749;0;215.399;224.840;100.060;61.927;16.085;8.718;4.232;28.488;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;;9;ERECHIM;RS;set/16;656.382;1;274.347;229.518;83.118;33.130;12.868;6.473;2.876;14.052;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26408161;b3S;I;2;;9;DOURADOS;MS;set/16;616.391;3;273.539;203.365;61.964;21.452;14.172;11.771;3.571;26.555;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;;9;VENDA NOVA DO IMIGRANTE;ES;set/16;615.179;15.725;244.745;213.985;58.913;34.353;11.864;7.788;9.625;18.182;0
COOPERATIVA DE CRÉDITO SICREDI JOÃO PESSOA;35571249;b3S;I;2;;9;JOAO PESSOA;PB;set/16;610.989;0;468.944;44.090;50.210;18.387;7.898;9.516;538;11.406;0
MODAL;51963;b1;C;2;;199;RIO DE JANEIRO;RJ;set/16;608.650;98.540;241.445;161.042;57.018;38.632;2;0;0;11.970;0
MÁXIMA;50201;b1;C;2;;199;RIO DE JANEIRO;RJ;set/16;600.198;0;346.430;135.896;52.507;21.660;11.085;24.246;1.600;6.774;0
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2398976;b3S;I;2;;9;LONDRINA;PR;set/16;596.128;0;301.274;233.395;40.058;7.846;913;5.126;1.656;5.860;0
MIZUHO;51554;b1;I;3;;199;SAO PAULO;SP;set/16;595.834;498.997;14.324;11.641;0;0;0;0;0;0;70.873
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO   SICREDI PLANALTO RS/SC;88038260;b3S;I;2;;9;CRUZ ALTA;RS;set/16;590.688;0;149.376;191.366;137.424;40.428;32.085;18.287;6.318;15.403;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87733077;b3S;I;2;;9;ITAQUI;RS;set/16;572.289;0;100.346;261.172;95.810;70.004;18.611;8.649;5.471;12.226;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;;9;SANTA MARIA;RS;set/16;542.766;13;220.322;178.812;62.893;24.334;14.529;13.270;5.418;23.176;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;I;2;;9;SORRISO;MT;set/16;542.713;0;108.310;292.927;48.796;29.640;15.544;10.358;7.706;29.431;0
BANCO SEMEAR S.A.;795423;b1;I;2;;8;BELO HORIZONTE;MG;set/16;542.306;0;366.517;54.820;34.134;16.020;9.345;7.246;7.620;46.603;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;;9;CARLOS BARBOSA;RS;set/16;531.844;2;189.221;222.964;40.948;32.938;16.451;11.770;3.669;13.882;0
AGIPLAN;51956;b1;C;3;;199;PORTO ALEGRE;RS;set/16;525.898;0;352.067;25.428;25.111;17.612;18.992;14.625;13.231;58.830;0
HAITONG;51482;b2;C;3;;198;SAO PAULO;SP;set/16;523.347;319.921;32.113;21.251;43.152;45.252;0;7.837;0;0;53.820
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42898825;b3S;I;2;;9;BELO HORIZONTE;MG;set/16;521.210;25.420;199.962;140.705;119.594;27.410;1.429;2.918;2.150;1.620;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;;9;FLORIANOPOLIS;SC;set/16;515.050;0;251.330;128.935;60.747;33.131;15.842;14.905;738;9.421;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;;9;SAO MIGUEL D'OESTE;SC;set/16;514.752;22.112;296.009;116.610;34.810;5.990;5.570;2.215;1.522;29.914;0
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;;8;GUARULHOS;SP;set/16;510.507;59;4.101;295.581;157.366;11.806;8.188;5.153;4.719;23.535;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;;14;SAO PAULO;SP;set/16;501.076;0;217.107;118.715;109.595;34.935;6.472;2.825;9.166;2.261;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;;9;PONTA GROSSA;PR;set/16;499.925;60;218.558;188.275;35.088;26.345;10.012;7.783;3.740;10.064;0
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;;9;MARINGA;PR;set/16;483.974;9.049;150.020;210.445;70.844;12.529;11.040;5.283;3.551;11.215;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO-SERRANA DO ESPÍRITO SANTO - SICOOB CENTRO-SERRANO;31804966;b3S;I;2;;9;SANTA MARIA DE JETIBA;ES;set/16;477.734;16.087;101.054;229.037;66.316;13.935;7.032;6.834;5.284;32.155;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO LESTE DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED UNIÃO;74114042;b3S;I;2;;9;ITAJAI;SC;set/16;475.987;0;171.491;195.243;70.183;21.560;4.890;4.058;4.035;4.526;0
