Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;S4;I;3;SAO PAULO;SP;42979;8571;0;0;170731;0;179303;0;383868;178273;0;0;0;562141;1523726;2265170;219823;1325890;3810883;0;443510;4254392
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;42979;24608;0;0;1220164;0;1244772;74233;0;0;0;0;0;0;567586;1886590;53360;1187545;3127495;632;592223;3720350
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE;33667205;b3C;S4;I;2;CUIABA;MT;42979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3581334;3581334;0;122831;3704166
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;42979;170;0;0;1374369;0;1374540;0;0;0;22347;0;0;22347;1193008;2589896;238884;327877;3156657;0;510191;3666848
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;42979;0;0;0;17034;0;17034;0;0;0;0;0;0;0;2653058;2670092;0;104818;2774910;18287;766518;3559715
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;S4;I;3;RIO DE JANEIRO;RJ;42979;0;0;0;2715404;0;2715404;0;0;0;0;0;0;0;0;2715404;0;287771;3003175;0;510124;3513299
INTERMEDIUM - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;42979;128575;0;6088;1413327;0;1547990;13841;1386184;6814;1721;0;0;1394719;35386;2991936;0;144899;3136835;0;370499;3507334
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;S4;I;1;PORTO ALEGRE;RS;42979;0;0;0;0;0;0;0;0;0;0;0;0;0;2666168;2666168;0;131876;2798044;72;672118;3470235
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;C;2;RIO DE JANEIRO;RJ;42979;49535;0;0;1470535;0;1520070;379244;94295;13242;0;0;0;107538;4699;2011551;91110;909351;3012011;0;380858;3392869
COOPERATIVA CENTRAL DE CRÉDITO URBANO - CECRED;5463212;b3C;S4;I;2;BLUMENAU;SC;42979;0;0;0;0;0;0;0;0;0;0;0;0;0;127680;127680;0;2898169;3025849;0;250068;3275917
