Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;C;3;SAO PAULO;SP;42522;764115;0;764115;49256;813371;3309855;56445;0;0;0;56445;330415;3696715;3449158;0,2067;0,2067;0,22;0,2215;0,0074
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;42522;713427;0;713427;0;713427;3250225;2034;0;2309;0;4343;336622;3591190;5728882;0,1987;0,1987;0,1987;0,1245;0,1172
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;42522;565450;0;565450;0;565450;3452642;0;0;0;0;0;67801;3520444;5658282;0,1606;0,1606;0,1606;0,0999;0,03
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;42522;1173448;0;1173448;0;1173448;2753635;0;0;0;0;0;448931;3202566;4714441;0,3664;0,3664;0,3664;0,2489;0,0626
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;42522;495091;0;495091;9867;504958;2698185;21030;0;216042;0;237072;252093;3187350;3081088;0,1553;0,1553;0,1584;0,1607;0,0688
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;;I;3;SAO PAULO;SP;42522;504474;0;504474;0;504474;2160766;21419;0;779781;0;801200;157161;3119127;3287665;0,1617;0,1617;0,1617;0,1534;0,007
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;42522;612577;0;612577;0;612577;2669066;9892;0;0;0;9892;306571;2985528;4806043;0,2052;0,2052;0,2052;0,1275;0,0138
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;42522;799250;0;799250;0;799250;2426496;0;0;0;0;0;401413;2827909;0;0,2826;0,2826;0,2826;NI%;0,0005
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;42522;640247;0;640247;0;640247;2377022;9603;0;87704;18499;115806;228815;2721643;3132589;0,2352;0,2352;0,2352;0,2044;0,1275
PSA FINANCE - PRUDENCIAL;1000080594;b2;;C;3;SAO PAULO;SP;42522;783825;0;783825;0;783825;2459927;2706;0;0;0;2706;240768;2703401;2091540;0,2899;0,2899;0,2899;0,3748;0,0045
