Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
BEXS - PRUDENCIAL;1000080862;b2;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;149639;NI;42736;S4
WESTERN UNION - PRUDENCIAL;1000080886;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;189955;NI;42736;S4
BARIGUI - PRUDENCIAL;1000080893;n1;C;2;CURITIBA;PR;43252;Não;Sim;Não;613803;NI;42736;S4
BNY MELLON - PRUDENCIAL;1000080910;b1;C;3;RIO DE JANEIRO;RJ;43252;Sim;Sim;Não;423880;NI;42736;S4
CAIXA GERAL - PRUDENCIAL;1000080927;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;2359637;NI;42736;S4
BR PARTNERS - PRUDENCIAL;1000080934;b2;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;280347;NI;42736;S4
BRASIL PLURAL - PRUDENCIAL;1000080941;b1;C;2;RIO DE JANEIRO;RJ;43252;Sim;Sim;Não;710024;0;42736;S4
GOLCRED - PRUDENCIAL;1000080965;n1;C;2;SAO JOSE;SC;43252;Não;Sim;Não;32992;NI;42736;S4
COMPANHIA PROVINCIA DE CREDITO IMOBILIARIO - PRUDE;1000080972;n1;C;2;PORTO ALEGRE;RS;43252;Não;Sim;Não;54354;NI;42736;S4
UBS - PRUDENCIAL;1000080989;b2;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;393808;NI;42736;S4
INTER - PRUDENCIAL;1000080996;b1;C;2;BELO HORIZONTE;MG;43252;Sim;Sim;Não;4695974;NI;42736;S4
DACASA FINANCEIRA - PRUDENCIAL;1000081005;n1;C;2;VITORIA;ES;43252;Não;Sim;Não;1081947;NI;42736;S4
OURINVEST - PRUDENCIAL;1000081012;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;982449;NI;42736;S4
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;I;1;PORTO ALEGRE;RS;43252;Não;Sim;Não;3153767;NI;42736;S4
AG. FOMENTO ESTADO DE RORAIMA - PRUDENCIAL;1000081036;n1;I;1;BOA VISTA;RR;43252;Não;Sim;Não;11330;NI;42736;S4
AGENCIA DE FOMENTO DO RN S.A. - PRUDENCIAL;1000081043;n1;I;1;NATAL;RN;43252;Não;Sim;Não;69296;NI;42736;S4
AGENCIA FOMENTO GOIAS - PRUDENCIAL;1000081050;n1;I;1;GOIANIA;GO;43252;Não;Sim;Não;241771;NI;42736;S4
DESENBAHIA AG FOMENTO BAHIA SA - PRUDENCIAL;1000081067;n1;I;1;SALVADOR;BA;43252;Não;Sim;Não;1219185;NI;42736;S4
AF DO ESTADO DE SC S.A. - PRUDENCIAL;1000081074;n1;I;1;FLORIANOPOLIS;SC;43252;Não;Sim;Não;1011921;NI;42736;S4
AFAL - PRUDENCIAL;1000081081;n1;I;1;MACEIO;AL;43252;Não;Sim;Não;52587;NI;42736;S4
AG. FOMENTO AMAPA S.A. - PRUDENCIAL;1000081098;n1;I;1;MACAPA;AP;43252;Não;Sim;Não;16005;NI;42736;S4
AFEAM - PRUDENCIAL;1000081108;n1;I;1;MANAUS;AM;43252;Não;Sim;Não;486269;NI;42736;S4
AF PARANÁ - PRUDENCIAL;1000081115;n1;I;1;CURITIBA;PR;43252;Não;Sim;Não;1966360;NI;42736;S4
AG. FOMENTO ESTADO DO TOCANTINS - PRUDENCIAL;1000081122;n1;I;1;PALMAS;TO;43252;Não;Sim;Não;20482;NI;42736;S4
AGENCIA FOMENTO EST RJ S.A. - PRUDENCIAL;1000081139;n1;I;1;RIO DE JANEIRO;RJ;43252;Não;Sim;Não;560953;NI;42736;S4
AGÊNCIA DE FOMENTO MATO GROSSO - PRUDENCIAL;1000081146;n1;I;1;CUIABA;MT;43252;Não;Sim;Não;43241;NI;42736;S4
AF DESENVOLVE SP S.A. - PRUDENCIAL;1000081153;n1;I;1;SAO PAULO;SP;43252;Não;Sim;Não;1681515;NI;42736;S4
PIAUÍ FOMENTO - PRUDENCIAL;1000081160;n1;I;1;TERESINA;PI;43252;Não;Sim;Não;11798;NI;42736;S4
AF ESTADO DE PERNAMBUCO S.A. - PRUDENCIAL;1000081177;n1;I;1;RECIFE;PE;43252;Não;Sim;Não;55737;NI;42736;S4
BCO ARBI S.A. - PRUDENCIAL;1000081201;b1;I;2;RIO DE JANEIRO;RJ;43252;Sim;Sim;Não;206913;NI;42736;S4
BANCO BM&FBOVESPA - PRUDENCIAL;1000081225;b1;I;2;SAO PAULO;SP;43252;Sim;Sim;Não;311320;NI;42736;S4
BCO KEB DO BRASIL SA - PRUDENCIAL;1000081232;b1;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;538395;NI;42736;S4
ANDBANK - PRUDENCIAL;1000081256;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;69624;NI;42736;S4
BCO LA PROVINCIA B AIRES BCE - PRUDENCIAL;1000081263;b1;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;129152;NI;42736;S4
BCO LA NACION ARGENTINA - PRUDENCIAL;1000081270;b1;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;165214;NI;42736;S4
BCO REP ORIENTAL URUGUAY BCE - PRUDENCIAL;1000081287;b1;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;59335;NI;42736;S4
MSB BANK S.A. BCO CÂMBIO - PRUDENCIAL;1000081294;b2;I;2;CURITIBA;PR;43252;Sim;Sim;Não;176672;NI;42736;S4
BCO DES. DO ES S.A. - PRUDENCIAL;1000081304;b4;I;1;VITORIA;ES;43252;Sim;Sim;Não;1425506;NI;42736;S4
BCO INBURSA INV S.A. - PRUDENCIAL;1000081335;b1;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;76069;NI;42736;S4
BCO INDUSCRED DE INVESTIM. S/A - PRUDENCIAL;1000081342;b2;I;2;SAO PAULO;SP;43252;Sim;Sim;Não;22105;NI;42736;S4
BANCO PORTO REAL DE INVEST.S.A - PRUDENCIAL;1000081359;b2;I;2;PORTO REAL;RJ;43252;Sim;Sim;Não;32272;NI;42736;S4
BBVA BRASIL BI S.A. - PRUDENCIAL;1000081366;b2;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;120163;NI;42736;S4
STANDARD CHARTERED BI S.A. - PRUDENCIAL;1000081373;b2;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;3502503;NI;42736;S4
BANCO SEMEAR - PRUDENCIAL;1000081380;b1;I;2;BELO HORIZONTE;MG;43252;Sim;Sim;Não;844250;NI;42736;S4
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;2649896;NI;42736;S4
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;3913445;NI;42736;S4
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;I;3;PORTO ALEGRE;RS;43252;Sim;Sim;Não;5404410;NI;42736;S4
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;C;2;UBERLANDIA;MG;43252;Sim;Sim;Não;2630260;NI;42736;S4
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;3549919;NI;42736;S4
BCO CEDULA S.A. - PRUDENCIAL;1000081469;b1;I;2;RIO DE JANEIRO;RJ;43252;Sim;Sim;Não;131015;NI;42736;S4
BANCO MONEO S.A. - PRUDENCIAL;1000081500;b2;I;2;CAXIAS DO SUL;RS;43252;Sim;Sim;Não;670542;NI;42736;S4
BANCO TOPÁZIO S.A. - PRUDENCIAL;1000081517;b1;I;2;PORTO ALEGRE;RS;43252;Sim;Sim;Não;638524;NI;42736;S4
BANCO VIPAL - PRUDENCIAL;1000081531;b2;I;2;PORTO ALEGRE;RS;43252;Sim;Sim;Não;16009;NI;42736;S4
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;6567855;NI;42736;S4
