Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;41334;106725;0;13878;0;0;3011;123614;-31955;-1712;0;0;-12012;-45679;77936;16122;3374;-31740;-19144;-6462;779;847;-342;-36566;41370;-311;41059;-15995;-2185;22878;-2896
HONDA;51396;b2;;C;3;SAO PAULO;SP;41334;115051;2014;1724;0;0;0;118790;-39287;0;-1638;0;-26547;-67472;51319;3996;10316;-3098;-28973;-4906;0;6159;-6674;-23181;28138;-2;28136;-11139;0;16997;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;41334;76023;41719;5333;-6997;0;0;116078;-4317;-29946;-27591;0;-32683;-94538;21541;26256;65;-12170;-8726;-5405;0;4725;-3780;966;22506;-3;22504;-8870;0;13634;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41334;67683;0;89234;-42780;0;0;114137;-54088;-13653;0;-7044;-4694;-79479;34658;11015;1035;-31785;-16437;-5439;3626;67675;-10104;19585;54243;-11;54232;-20902;-2584;30746;0
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;41334;93039;137;18268;-4922;6931;0;113454;-74410;-3156;-130;0;-55398;-133094;-19640;669;3339;-24821;-41000;-415;-15065;91614;-93964;-79644;-99284;688;-98596;35108;0;-63489;0
OMNI;50940;n1;;C;2;SAO PAULO;SP;41334;91759;0;21582;-494;0;0;112847;-51480;0;0;0;-10142;-61622;51225;2676;14368;-2402;-56667;-8573;11057;4254;-7341;-42628;8597;-1221;7376;-888;0;6488;0
BES;51482;b2;;C;3;SAO PAULO;SP;41334;34073;0;14790;61960;838;0;111661;-87615;-2680;0;0;-438;-90733;20929;17146;804;-16106;-11566;-6477;-408;14017;-4527;-7116;13812;0;13812;-3581;-6561;3671;0
PORTO SEGURO;51444;n1;;C;2;SAO PAULO;SP;41334;108519;0;2010;0;0;0;110529;-10818;0;0;0;-41477;-52295;58235;32809;19780;-4728;-40180;-9344;0;15441;-33125;-19347;38887;1;38888;-13992;-3787;21108;0
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;41334;91293;3509;14279;-1506;0;0;107575;-48564;-13017;-3316;0;-16998;-81895;25680;287;1230;-4989;-11547;-2449;0;9447;-5385;-13407;12273;-65;12208;-2266;-361;9581;0
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;41334;2753;0;69845;-21347;52532;0;103783;-38056;-27734;0;0;-1857;-67648;36136;105052;94;-75523;-25688;-8358;0;16987;-34844;-22279;13856;0;13856;-5295;0;8561;0
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;41334;63245;31706;667;0;0;0;95618;-5074;-20083;-27748;0;-14793;-67698;27919;45;1553;-6998;-5705;-2418;807;997;-588;-12307;15612;337;15949;-6127;-500;9321;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;41334;42132;0;36428;0;0;10936;89497;-56875;0;0;0;-2161;-59036;30460;0;811;-14320;-6919;-2128;0;961;-1307;-22903;7557;1210;8767;0;0;8767;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;41334;74335;248;13904;0;0;0;88488;-12047;-18272;-247;-1;-10716;-41283;47205;10232;1234;-18330;-9123;-3815;0;2926;-12978;-29855;17350;-189;17161;-7882;-442;8837;0
