Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;42795;10226;121639;203476;-181038;33795;0;188098;-59577;-18751;-94586;0;-550;-173463;14635;3615;19;-37870;-28787;-3975;-2394;50862;-34441;-52971;-38336;50;-38286;3475;0;-34811;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;42795;130136;0;57714;0;0;0;187851;-61671;-21694;0;0;-22336;-105702;82149;2030;448;-22325;-20335;-293;0;2006;-1436;-39905;42244;-259;41984;-503;-1900;39581;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;42795;67444;0;68193;-9408;61535;0;187765;-32952;-267715;0;0;-1739;-302406;-114642;14162;63;-23986;-12769;-2055;81;330433;-188890;117039;2398;0;2398;-3893;-63;-1558;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;42795;71128;0;97305;0;0;15071;183504;-102941;0;0;0;-9116;-112057;71447;0;1050;-28556;-11203;-4229;0;17315;-2300;-27923;43524;741;44265;0;0;44265;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;42795;171004;0;36684;-27474;0;0;180214;-15280;-98701;0;-9;-56829;-170819;9395;5767;2649;-26388;-8864;-5110;2;36969;-21810;-16786;-7391;112;-7278;-1280;0;-8559;0
AGIPLAN - PRUDENCIAL;1000083694;b1;S4;C;2;PORTO ALEGRE;RS;42795;165707;0;9277;-111;0;0;174874;-19346;-131;0;-122;-45615;-65214;109660;1888;4538;-8235;-81042;-7677;0;428;-292;-90392;19269;0;19269;-8431;0;10838;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;S4;C;2;RIO DE JANEIRO;RJ;42795;2;0;146412;27367;655;0;174435;-29731;-4028;0;0;199;-33560;140875;116719;82555;-18785;-181253;-25356;0;10160;-3529;-19488;121387;24;121411;-34031;-42200;45181;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;42795;123484;0;46585;0;0;3172;173242;-74123;-1592;0;0;-13488;-89204;84038;20112;8481;-41419;-35763;-8118;296;5333;-4043;-55120;28918;268;29186;-11364;-1731;16091;-6081
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;42795;121531;457;46689;2237;2087;0;173002;-101756;-707;-373;0;-7983;-110820;62182;344;6863;-17098;-19378;-4221;-492;12892;-8668;-29759;32423;-52;32371;-13051;-4461;14859;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S4;C;3;INDAIATUBA;SP;42795;157711;0;4327;27;0;0;162066;-5147;-49736;0;0;-44283;-99166;62899;12797;82;-8733;-4411;-5046;0;19451;-14541;-401;62498;-355;62143;-32429;-1019;28694;0
