Instituição financeira;w;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;01/12/2015;1717849;430;7910;19825;16994;10864;0;0;56022;24;501;1095;1495;530;3;0;3648;0;0;0;0;0;0;0;0;0;18796;0;0;0;0;0;18796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21271;159368;443826;805162;196422;13332;0;1639382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/12/2015;1703812;38100;105539;216793;189971;53412;28304;0;632119;248;638;1256;1021;28;0;0;3190;23570;83691;91443;29598;0;0;0;228302;14410;45380;3073;0;0;0;0;62864;0;0;0;0;0;0;0;0;16087;85953;44098;68708;45682;33808;5358;299696;11850;61403;53268;186067;66866;33857;0;413311;137;11968;3992;3628;2596;7149;0;29471;117;2205;4858;19588;6680;1411;0;34859;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;01/12/2015;1661167;19996;326544;113273;7193;0;0;0;467006;0;0;0;0;0;0;0;0;0;3978;25327;0;0;0;0;29306;0;0;0;0;0;0;0;0;0;485635;507167;2412;0;0;0;995214;0;5;7194;293;0;0;0;7492;0;18311;13659;69363;9026;1097;0;111456;0;15829;34864;0;0;0;0;50693;0;0;0;0;0;0;0;0;0
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/12/2015;1614218;12263;87519;178705;229838;30520;415;0;539260;2192;9302;18179;14685;1363;76;0;45797;16824;130447;0;0;0;0;0;147271;5744;64679;3176;0;0;0;0;73600;41784;77627;171382;3450;0;0;0;294244;13439;17794;42105;88421;79321;23869;0;264949;1458;14196;38245;81067;46456;47425;0;228847;309;1035;10448;912;7431;0;0;20135;5;6;14;37;39;14;0;116;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/12/2015;1562856;0;1424;5326;6758;0;0;0;13508;4386;50452;123739;170125;24540;0;0;373244;0;0;0;0;0;0;0;0;0;520961;17363;8168;143;0;0;546635;0;0;0;0;0;0;0;0;1001;222;19101;6114;0;0;0;26438;573;6338;20115;48689;16505;0;0;92221;2805;10310;108532;198877;139152;51134;0;510811;0;0;0;0;0;0;0;0;0
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/12/2015;1401444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;289233;1093934;18153;0;0;0;1401444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/12/2015;1392136;2797;183304;220311;233805;17380;2877;0;660474;0;0;0;0;0;0;0;0;5288;184087;0;0;0;0;0;189375;1155;279243;7381;4766;110;0;0;292655;4309;82021;99919;0;0;0;0;186248;60;275;199;329;0;0;0;862;0;3225;29232;19458;6709;3897;0;62521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/12/2015;1387910;22872;179610;318797;153310;31396;9776;0;715761;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;30;3654;5222;3585;1001;729;1099;0;15290;86820;64242;199987;42474;0;0;0;393523;28567;31641;12829;18376;16146;9513;0;117072;764;33483;32311;24698;2633;1785;0;95674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50561
BBM;30207;b1;C;2;;199;SALVADOR;BA;01/12/2015;1306857;13035;117309;422034;91881;549;1641;0;646449;0;1986;4187;4872;0;0;0;11045;0;0;0;0;0;0;0;0;0;18;52;120;4;0;0;195;3514;98073;399065;90493;0;0;0;591146;2500;2768;7490;2092;5175;13260;0;33284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24738
BANCO RODOBENS S.A.;33603457;b1;I;2;;8;SAO PAULO;SP;01/12/2015;1271639;1113;11657;38573;23984;3544;825;0;79697;18212;151315;280326;179214;11349;6;0;640422;0;7215;3795;0;0;0;0;11009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;692;1846;4194;552;0;0;7284;10397;56794;155200;251310;59458;67;0;533227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/12/2015;1218800;16028;135777;239921;208198;26162;4273;0;630358;0;4;0;0;0;0;0;5;4;45167;131503;3864;360;0;0;180898;3236;219795;19108;41;0;0;0;242180;0;2312;6595;11625;315;0;0;20847;6925;17895;542;448;165;0;0;25975;351;6510;32788;72735;6127;25;0;118536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;01/12/2015;1180467;0;0;0;0;0;0;0;0;12346;169001;407186;471990;103966;244;15734;1180467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/12/2015;1122220;0;140;255;495;0;0;0;890;5428;95322;205552;161737;6366;4;0;474409;0;0;0;0;0;0;0;0;1717;645205;0;0;0;0;0;646921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;;30;SAO PAULO;SP;01/12/2015;1096002;697;6214;5926;2890;178;96;1;16002;5616;43100;120596;283762;164457;114059;0;731589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;25;0;0;0;0;99;5808;17702;46052;102738;72656;103356;0;348311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO FORD S.A.;90731688;b2;I;3;;8;SAO PAULO;SP;01/12/2015;1048443;0;784;2318;1711;0;0;0;4812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26336;316686;687157;2688;0;0;0;1032867;0;0;0;0;0;0;0;0;0;103;10661;0;0;0;0;10764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MIZUHO;51554;b1;I;3;;199;SAO PAULO;SP;01/12/2015;940221;0;143039;40436;154202;0;0;0;337677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113513;237253;0;0;0;0;350766;0;0;0;0;0;0;0;0;0;0;79341;62857;31429;0;0;173626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78152
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;;8;SAO PAULO;SP;01/12/2015;927569;0;7739;75920;136347;21022;0;0;241028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43654;450;0;0;0;0;44104;0;237380;332226;72831;0;0;0;642437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;;30;CURITIBA;PR;01/12/2015;895969;5044;1874;3749;6560;0;0;0;17227;1665;53380;129185;329749;184853;72027;0;770859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;144;3;0;0;0;192;1573;7413;20628;37845;20442;19755;36;107692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO MONEO S.A.;7441209;b2;I;2;;8;CAXIAS DO SUL;RS;01/12/2015;864051;329;3026;0;0;0;0;0;3356;457;2894;7395;12639;4603;61;0;28048;0;0;0;0;0;0;0;0;1190;25007;8000;0;0;0;0;34197;0;0;0;0;0;0;0;0;3680;18252;34448;41379;11507;1090;0;110356;11333;60704;173952;306406;119835;15864;0;688094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAIXA GERAL;51815;b1;C;3;;199;SAO PAULO;SP;01/12/2015;798602;20988;82258;201849;231935;38053;438;0;575521;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;0;40631;56651;0;0;0;0;97282;0;38430;0;0;0;0;0;38430;0;1229;63734;6406;6535;9465;0;87369;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
HAITONG;51482;b2;C;3;;198;SAO PAULO;SP;01/12/2015;796957;41260;68488;47599;65137;4509;2579;0;229574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;859;32508;116200;4598;10994;19121;4780;189059;0;0;0;0;0;0;0;0;0;13951;17238;47833;38464;129931;31259;278675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99650
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/12/2015;743036;1987;25969;17072;14674;1673;0;0;61375;8484;46926;79543;70525;5475;0;0;210952;0;0;0;0;0;0;0;0;0;14626;12199;0;0;0;0;26824;0;0;0;0;0;0;0;0;27;916;1813;3585;1298;13;0;7652;8872;29993;67852;81334;10392;1179;0;199622;2907;18432;54649;98817;48892;12913;0;236611;0;0;0;0;0;0;0;0;0
BANCO ABN AMRO S.A.;3532415;b1;I;3;;8;SAO PAULO;SP;01/12/2015;722622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206267;407306;0;0;0;0;613573;107042;0;2007;0;0;0;0;109049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PARANÁ BANCO;30881;b1;C;2;;199;CURITIBA;PR;01/12/2015;689967;3874;132502;177245;107679;1403;0;0;422703;0;20375;2774;0;0;0;0;23148;0;60194;17960;0;0;0;0;78154;373;10723;3195;48;0;0;0;14339;7924;23940;10186;0;0;0;0;42050;1864;216;0;0;0;0;0;2080;20;16304;33517;39129;7575;0;0;96544;0;1043;5739;4167;0;0;0;10949;0;0;0;0;0;0;0;0;0
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;;8;SAO PAULO;SP;01/12/2015;668067;3688;13571;147198;51022;0;0;0;215479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74061;226805;151722;0;0;0;452588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;01/12/2015;662801;0;0;0;0;0;0;0;0;2650;43711;94261;131409;43712;6644;44;322430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;509;487;561;1346;627;0;0;3530;897;15150;42751;120221;77863;64938;0;321820;0;0;42;2141;4888;7950;0;15021;0;0;0;0;0;0;0;0;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;;8;SAO PAULO;SP;01/12/2015;654591;2754;70354;136572;185896;45179;0;0;440755;193;4602;12242;28423;12716;0;0;58175;54;36617;32668;4719;0;0;0;74058;40;14742;2392;12;0;0;0;17185;66;15567;45955;0;0;0;0;61588;623;661;1115;364;66;0;0;2830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BMW;51420;n1;C;3;;197;SAO PAULO;SP;01/12/2015;653878;0;0;0;0;0;0;0;0;681;27907;73383;94416;2410;7;0;198804;0;0;0;0;0;0;0;0;0;335684;119389;0;0;0;0;455074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOFA MERRILL LYNCH;51255;b1;C;3;;199;SAO PAULO;SP;01/12/2015;645246;0;53546;10153;220824;275705;0;0;560228;0;0;0;0;0;0;0;0;0;3462;35756;0;0;0;0;39218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;11441;34356;0;0;0;0;45800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/12/2015;526619;1777;29957;60930;84035;12102;0;0;188800;283;4024;10334;11612;1070;0;0;27323;0;4625;6608;136;0;0;0;11368;303;32876;5462;0;0;0;0;38642;0;0;0;0;0;0;0;0;935;13379;146350;55939;16365;942;0;233909;0;0;0;0;0;0;0;0;0;0;24903;699;497;477;0;26576;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/12/2015;521111;1287;25657;56791;59637;6869;14;0;150255;1545;22791;57140;85585;17543;28;0;184632;0;6786;30744;123;0;0;0;37652;0;74238;24343;0;0;0;0;98581;0;0;0;0;0;0;0;0;4858;3756;3308;3979;1146;294;0;17341;225;4916;11856;14048;1604;0;0;32650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MODAL;51963;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2015;507220;20765;109363;185697;145972;3263;0;0;465060;0;0;0;0;0;0;0;0;0;0;1513;0;0;0;0;1513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252;16941;5675;0;17779;0;0;40647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/12/2015;496208;1347;30514;70301;72758;9317;0;0;184237;71;1837;4829;10298;8340;6744;0;32119;2379;50343;45779;7;0;0;0;98508;1232;17799;3104;0;0;0;0;22134;0;0;0;0;0;0;0;0;2081;9397;19375;38529;16919;8257;0;94557;0;1075;2844;13396;7508;1150;0;25973;0;0;0;0;0;0;0;0;0;3060;8932;19701;5053;1520;415;38680;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;;14;SAO PAULO;SP;01/12/2015;473121;6436;47037;103406;84149;18812;2;0;259841;3310;24223;57657;90155;16950;48;0;192343;0;0;0;0;0;0;0;0;402;10363;5976;4195;0;0;0;20936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/12/2015;462956;0;71;213;625;0;0;0;909;931;18063;36670;31920;1666;0;0;89249;0;0;0;0;0;0;0;0;6365;205917;160516;0;0;0;0;372798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2398976;b3S;I;2;;9;LONDRINA;PR;01/12/2015;451535;3967;39880;108727;126326;18071;1910;4;298885;126;4062;10546;18695;9087;7328;3;49846;141;22700;42744;73;0;0;0;65658;540;18606;1231;0;0;0;0;20377;0;0;0;0;0;0;0;0;866;1579;3650;6533;1697;869;0;15194;0;123;371;863;216;0;0;1574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;;30;SALVADOR;BA;01/12/2015;436475;0;2031;4943;3091;0;0;0;10065;0;6223;16654;41214;37153;24636;0;125880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1084;2491;6642;2871;0;0;13087;1533;5946;17460;53056;40369;67106;1571;187043;0;746;3188;7005;48695;40766;0;100401;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;;9;LINHARES;ES;01/12/2015;430817;2958;45145;83307;98714;31355;1636;34;263149;572;3896;9348;12362;1331;35;0;27543;0;9456;2430;0;0;0;0;11887;3169;44427;4973;15;0;0;0;52585;0;0;0;0;0;0;0;0;1152;16698;33765;364;6;0;0;51985;5;26;79;116;33;0;0;259;0;8279;13910;914;308;0;0;23411;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;I;2;;9;SERTAOZINHO;SP;01/12/2015;427602;5165;14017;56926;73727;7527;57;0;157420;69;709;1630;2403;297;0;0;5109;0;40020;23329;0;0;0;0;63349;1665;22315;4022;0;0;0;0;28003;0;0;0;0;0;0;0;0;703;6404;17872;30694;14880;27381;0;97933;0;0;0;0;0;0;0;0;0;4945;49523;21320;0;0;0;75788;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;;9;GOIANIA;GO;01/12/2015;412223;1515;30303;66878;122895;61989;56700;0;340281;121;1271;9107;18339;6168;3392;0;38398;60;3279;1251;1471;15686;30;0;21777;166;3337;371;0;0;0;0;3874;0;0;0;0;0;0;0;0;407;384;929;480;5272;254;0;7726;0;0;0;0;0;0;0;0;0;0;167;0;0;0;0;167;0;0;0;0;0;0;0;0;0
BANCO RANDON S.A.;11476673;b1;I;2;;8;CAXIAS DO SUL;RS;01/12/2015;409893;857;6683;10013;8592;65;0;0;26211;227;3613;6550;4919;901;0;0;16210;0;0;0;0;0;0;0;0;2306;86041;7214;2745;0;0;0;98306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2294;27580;75891;132353;31048;0;0;269166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INTERMEDIUM;51884;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2015;382446;20231;116621;91151;24182;1756;1527;0;255468;1272;9240;9782;8870;7399;18758;21;55341;0;12882;0;0;0;0;0;12882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;480;10688;7798;19939;12176;7672;0;58754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO GUANABARA S.A.;31880826;b1;I;2;;8;RIO DE JANEIRO;RJ;01/12/2015;364367;5714;87346;102104;37431;580;0;0;233175;1090;5650;14522;10275;1029;0;0;32567;0;0;0;0;0;0;0;0;0;19915;12582;1512;0;0;0;34009;0;0;0;0;0;0;0;0;11;85;165;427;0;0;0;687;559;10444;24072;24985;3869;0;0;63929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UNICRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35571249;b3S;I;2;;9;JOAO PESSOA;PB;01/12/2015;363114;987;28788;61814;91770;17724;6271;23;207377;309;3539;8436;15386;7390;10468;2686;48213;0;70794;31994;0;0;0;0;102788;80;3620;555;0;0;0;0;4256;0;0;0;0;0;0;0;0;382;98;0;0;0;0;0;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SOCOPA;50328;b1;C;2;;199;SAO PAULO;SP;01/12/2015;362563;762;104695;90835;17247;102;0;0;213642;0;21986;17267;500;0;0;0;39752;0;14751;3994;0;0;0;0;18745;605;83124;2740;525;0;0;0;86995;0;3090;248;0;0;0;0;3339;0;90;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RENDIMENTO;51468;b1;C;2;;199;SAO PAULO;SP;01/12/2015;356913;1471;43974;67185;37118;401;0;0;150150;0;0;0;0;0;0;0;0;293;65829;31960;0;0;0;0;98082;222;63649;9585;8;0;0;0;73464;16;5053;9175;0;0;0;0;14244;165;420;0;0;0;0;0;585;43;2473;6472;9302;2099;0;0;20389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;;9;VENDA NOVA DO IMIGRANTE;ES;01/12/2015;354464;4388;41541;66679;97720;44728;5508;0;260564;161;1285;3287;4918;702;0;0;10354;0;4679;1391;0;0;0;0;6070;2501;29443;2605;0;0;0;0;34549;0;0;0;0;0;0;0;0;501;15751;21067;512;121;0;0;37951;0;0;0;0;0;0;0;0;0;577;2687;1659;54;0;0;4977;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;;9;FLORIANOPOLIS;SC;01/12/2015;348006;1381;24373;62324;91607;35315;15933;0;230933;342;7288;20554;35174;18069;6755;0;88183;33;6116;7562;0;0;0;0;13711;100;14464;0;0;0;0;0;14564;0;0;0;0;0;0;0;0;414;201;0;0;0;0;0;614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;;9;MARINGA;PR;01/12/2015;342135;3403;51143;60779;64213;16959;158;123;196777;48;2577;5186;4630;803;1;0;13245;0;3877;4909;27;0;0;0;8813;609;65079;5176;10;0;0;0;70873;0;0;0;0;0;0;0;0;534;9756;23745;878;17;0;0;34930;0;0;0;0;0;0;0;0;0;8205;9152;138;0;0;0;17496;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;;9;MEDIANEIRA;PR;01/12/2015;336919;1495;14421;37029;38792;4450;150;0;96337;180;3061;7568;8694;960;68;0;20532;2034;21916;96836;1025;55;123;0;121989;866;31714;4715;1;1;0;0;37296;0;0;0;0;0;0;0;0;972;11454;22735;17542;3937;1066;287;57993;0;0;0;0;0;0;0;0;0;0;2696;77;0;0;0;2773;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;01/12/2015;330233;2903;28937;63819;67920;9998;165;0;173742;569;8383;19066;23967;3800;300;0;56084;1684;20789;16562;0;0;0;0;39035;498;25576;1300;0;0;0;0;27374;0;0;0;0;0;0;0;0;1123;3711;8324;10993;3666;240;518;28575;0;0;0;0;0;0;0;0;0;317;5105;0;0;0;0;5423;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;;9;CHAPECO;SC;01/12/2015;326752;9281;30845;53588;66875;26618;5052;0;192260;586;3779;9423;17009;4255;1363;0;36415;0;4789;3334;0;0;0;0;8123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;691;2905;21345;315;0;0;0;25255;4651;42986;4612;92;0;0;0;52341;0;0;12358;0;0;0;0;12358;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;;9;MARINGA;PR;01/12/2015;323236;2866;20695;44901;45682;7397;18;0;121559;20;1077;2846;3273;104;0;0;7320;1382;36615;37225;0;0;0;0;75222;472;30461;4439;0;0;0;0;35372;0;0;0;0;0;0;0;0;1267;8151;16569;17669;6203;325;510;50693;18;287;729;287;0;0;0;1321;0;3261;26882;1606;0;0;0;31748;0;0;0;0;0;0;0;0;0
