Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior
CREDISIS CAPITALCREDI - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ACRE LTDA;5439425;b3S;I;2;S5;9;RIO BRANCO;AC;mar/21;81.486;81.485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, TÉCNICOS E DEMAIS PROFISSIONAIS DA SAÚDE DO SUL DE MINAS LTDA., UNICRED SUL DE MINAS;71418784;b3S;I;2;S5;9;VARGINHA;MG;mar/21;80.999;9.285;0;0;0;0;0;71.714;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO HORIZONTE - SICOOB HORIZONTE;7194313;b3S;I;2;S5;9;ARAPONGAS;PR;mar/21;80.542;62.628;0;0;0;0;0;7.101;10.812;0;0;0;0;0;0;0;0;0;0;1;0
COOPERATIVA DE CRÉDITO UNIÃO DO CENTRO OESTE DE MINAS LTDA. - SICOOB CENTRO UNIÃO;65239402;b3S;I;2;S5;9;CARMO DO CAJURU;MG;mar/21;79.686;71.679;2;0;0;0;0;5.560;2.443;0;0;0;0;0;0;0;0;0;0;2;0
COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DAS ENCOSTAS DA SERRA GERAL – CRESOL ENCOSTAS DA SERRA GERAL;3485130;b3S;I;2;S5;9;SANTA ROSA DE LIMA;SC;mar/21;79.495;73.852;0;43;0;0;0;4.403;143;0;0;1.049;0;0;0;0;0;0;0;5;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO SICOOB COOPERCREDI - SP;915950;b3S;I;2;S5;9;SAO PAULO;SP;mar/21;79.115;67.018;0;0;0;0;0;2.762;9.334;0;0;0;0;0;0;0;0;0;0;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PEDRO LEOPOLDO LTDA - SICOOB CREDIPEL;71441406;b3S;I;2;S5;9;PEDRO LEOPOLDO;MG;mar/21;79.107;72.934;0;0;0;0;0;0;6.172;0;0;0;0;0;0;0;0;0;0;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CAÇADOR   SICOOB CAÇADOR SC;86791837;b3S;I;2;S5;9;CACADOR;SC;mar/21;78.499;58.546;0;0;0;0;0;19.953;0;0;0;0;0;0;0;0;0;0;0;1;0
COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SAO JOAQUIM-CRESOL SÃO JOAQUIM;2766672;b3S;I;2;S5;9;SAO JOAQUIM;SC;mar/21;78.280;76.434;0;69;0;0;0;1.585;0;0;0;187;0;0;0;0;0;0;0;4;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO PODER EXECUTIVO FEDERAL, DOS SERVIDORES DA SECRETARIA DE SAÚDE E DOS TRABALHADORES EM ENSINO DO DISTRITO FEDERAL LTDA.   SICOOB EXECUTIVO;694877;b3S;I;2;S5;9;BRASILIA;DF;mar/21;78.223;77.146;0;1;0;0;0;0;1.072;0;0;0;0;0;0;0;0;0;0;3;0
