Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/03/2018;472109;121148;162377;171427;17145;0;13;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;01/03/2018;471957;63935;133053;228339;46620;0;10;0;;;;;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/03/2018;434279;12710;81233;333159;7174;0;3;0;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;01/03/2018;430505;87583;113632;161421;67802;0;65;0;;;;;
CAIXA GERAL;51815;b1;C;3;S4;199;SAO PAULO;SP;01/03/2018;429437;959;14819;111264;302395;0;0;0;;;;;
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;S5;9;MARINGA;PR;01/03/2018;425413;40425;143304;163543;78111;0;31;0;;;;;
BANCO TOPÁZIO S.A.;7679404;b1;I;2;S4;8;PORTO ALEGRE;RS;01/03/2018;396480;580;47565;336506;11829;0;0;0;;;;;
MODAL;51963;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/03/2018;392972;84417;50915;227458;25452;0;0;4730;;;;;
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;382395;0;26062;67386;288948;0;0;0;;;;;
HAITONG;51482;b2;C;3;S3;198;SAO PAULO;SP;01/03/2018;364190;11010;7002;164964;181213;0;0;0;;;;;
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55230916;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;359696;0;3901;111816;243978;0;0;0;;;;;
BANCO RIBEIRAO PRETO S.A.;517645;b1;I;2;S4;8;RIBEIRAO PRETO;SP;01/03/2018;337386;1832;60024;193142;82388;0;0;0;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;S4;9;PONTA GROSSA;PR;01/03/2018;335083;129525;64808;138477;2250;0;23;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;01/03/2018;333374;48216;110074;175077;0;0;6;0;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;01/03/2018;331934;124417;96078;93958;17456;0;25;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;S4;9;ERECHIM;RS;01/03/2018;318311;72686;110865;119191;15556;0;13;0;;;;;
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17453575;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;313858;0;0;28424;285434;0;0;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ;5582619;b3S;I;2;S5;9;LONDRINA;PR;01/03/2018;310906;33266;93251;136904;47471;0;13;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E REGIÃO LTDA;4388688;b3S;I;2;S5;9;GOIANIA;GO;01/03/2018;305169;17051;72237;197312;18567;0;2;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;01/03/2018;304587;23727;107735;161458;11661;0;5;0;;;;;
COOPERATIVA DE CRÉDITO UNICRED DA GRANDE FLORIANÓPOLIS LTDA - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;S5;9;FLORIANOPOLIS;SC;01/03/2018;304169;9848;55013;207197;32109;0;2;0;;;;;
BANCO RANDON S.A.;11476673;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/03/2018;296967;2472;24623;201009;68862;0;0;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31815293;b3S;I;2;S5;9;SAO GABRIEL DA PALHA;ES;01/03/2018;285258;76785;66419;128804;13246;0;4;0;;;;;
COOPERATIVA DE CRÉDITO SICREDI JOÃO PESSOA;35571249;b3S;I;2;S5;9;JOAO PESSOA;PB;01/03/2018;282191;19274;69017;177470;16426;0;3;0;;;;;
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;S4;5;VITORIA;ES;01/03/2018;278955;57823;64174;107532;49425;0;0;0;;;;;
COOPERATIVA DE CRÉDITO SUL - SICOOB SUL;5888589;b3S;I;2;S5;9;CURITIBA;PR;01/03/2018;277036;21054;127245;128644;84;0;9;0;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/03/2018;273741;57701;71046;123956;21025;0;13;0;;;;;
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/03/2018;269698;161463;84008;23836;392;0;0;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;S5;9;SAO MIGUEL D'OESTE;SC;01/03/2018;267411;46232;107200;113974;0;0;5;0;;;;;
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;I;2;S3;9;PORTO ALEGRE;RS;01/03/2018;262027;10392;1134;250501;0;0;0;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;S4;9;SANTA MARIA;RS;01/03/2018;252406;33068;43555;138803;36970;0;9;0;;;;;
COOPERATIVA DE CREDITO CENTRO-SERRANA DO ESPIRITO SANTO - SICOOB CENTRO-SERRANO;31804966;b3S;I;2;S5;9;SANTA MARIA DE JETIBA;ES;01/03/2018;252028;33214;98819;119988;0;0;7;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;S4;9;CERRO LARGO;RS;01/03/2018;249815;48343;84847;106824;9789;0;13;0;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;01/03/2018;240347;52298;93776;91750;2507;0;17;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87733770;b3S;I;2;S4;9;RODEIO BONITO;RS;01/03/2018;238757;59202;62730;116817;0;0;8;0;;;;;
CSILATINA ARRENDAMENTO MERCANTIL S.A.;5883884;n1;I;3;S4;19;BARUERI;SP;01/03/2018;236665;5756;19373;72151;139385;0;0;0;;;;;
COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO IGUACU - SICREDI IGUACU PR/SC/SP;84974278;b3S;I;2;S4;9;SAO JOAO;PR;01/03/2018;236414;50669;70892;109891;4954;0;8;0;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP;82527557;b3S;I;2;S4;9;CAPANEMA;PR;01/03/2018;236188;73300;82158;78435;2285;0;10;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC;2843443;b3S;I;2;S4;9;JOINVILLE;SC;01/03/2018;230770;61748;79144;85400;4466;0;12;0;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA AREA DE SAUDE DO ESTADO DE SAO PAULO LTDA    UNICRED DO ESTADO DE SAO PAULO;71884498;b3S;I;2;S5;9;CAMPINAS;SP;01/03/2018;227416;12112;57918;156651;734;0;0;0;;;;;
COOPERATIVA DE CRÉDITO DOS PROPRIETÁRIOS DA INDÚSTRIA DE ROCHAS ORNAMENTAIS, CAL E CALCÁRIOS DO ESTADO DO ESPÍRITO SANTO - SICOOB CREDIROCHAS;3358914;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;01/03/2018;217612;23105;101440;88449;4614;0;4;0;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE LAJEADO - SICREDI VALE DO TAQUARI RS;91159764;b3S;I;2;S4;9;LAJEADO;RS;01/03/2018;215171;30413;62655;112093;10006;0;4;0;;;;;
COOPERATIVA DE CRÉDITO DO LESTE DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED UNIÃO;74114042;b3S;I;2;S5;9;ITAJAI;SC;01/03/2018;211088;29935;63614;99553;17984;0;2;0;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;I;2;S4;9;ENCANTADO;RS;01/03/2018;207883;37911;61736;79643;28585;0;7;0;;;;;
MÁXIMA;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/03/2018;199908;83655;49074;65718;1461;0;0;0;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO BRANCO – SICREDI OURO BRANCO RS;87853206;b3S;I;2;S4;9;TEUTONIA;RS;01/03/2018;198102;47981;52695;72230;25191;0;7;0;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87733077;b3S;I;2;S4;9;ITAQUI;RS;01/03/2018;196375;26930;35197;134242;0;0;6;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO PARANAÍBA, NOROESTE E OESTE DE MINAS LTDA - UNICRED INTEGRAÇÃO DE MINAS;1727929;b3S;I;2;S5;9;PATOS DE MINAS;MG;01/03/2018;194794;5781;88087;96809;4114;0;3;0;;;;;
COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE, PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES - SICOOB UNIMAIS BANDEIRANTE;3055269;b3S;I;2;S5;9;AMERICANA;SP;01/03/2018;188332;17229;67553;97794;5755;0;1;0;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DE PORTO ALEGRE LTDA-UNICRED PORTO ALEGRE;94433109;b3S;I;2;S5;9;PORTO ALEGRE;RS;01/03/2018;187856;9087;31534;131654;15579;0;3;0;;;;;
BANCO TRICURY S.A.;57839805;b2;I;2;S4;8;SAO PAULO;SP;01/03/2018;185229;10182;4930;119605;50512;0;0;0;;;;;
