Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;33862244;n2;I;3;;16;RIO DE JANEIRO;RJ;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;33918160;n2;I;2;;15;SAO PAULO;SP;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
UM INVESTIMENTOS S/A CORRETORA DE TITULOS E VALORES MOBILIARIOS;33968066;n2;I;2;;15;RIO DE JANEIRO;RJ;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
EUROINVEST S.A. CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;34190991;n2;I;2;;15;RIO DE JANEIRO;RJ;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
INTERCAM CORRETORA DE CÂMBIO LTDA.;34265629;n2;I;2;;21;SAO BERNARDO DO CAMPO;SP;mar/13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
KRAUS - SOCIEDADE CORRETORA DE CÂMBIO LTDA.;34266668;n2;I;2;;21;RIO DE JANEIRO;RJ;mar/13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FLUXO CORRETORA DE CÂMBIO S.A.;34562942;n2;I;2;;21;BARUERI;SP;mar/13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
HOYA CORRETORA DE VALORES E CAMBIO LTDA;34974170;n2;I;2;;15;RIO DE JANEIRO;RJ;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
MIDAS SOCIEDADE CORRETORA DE CÂMBIO S.A.;35602606;n2;I;2;;21;RIO DE JANEIRO;RJ;mar/13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LARCKY SOCIEDADE DE CREDITO IMOBILIARIO S.A.;35945542;n1;I;2;;31;SAO PAULO;SP;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
PRIME S/A CORRETORA DE CAMBIO E VALORES;36092302;n2;I;2;;15;RIO DE JANEIRO;RJ;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.;36113876;n2;I;2;;16;RIO DE JANEIRO;RJ;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
PROSPER S/A CORRETORA DE VALORES E CAMBIO;36178887;n2;I;2;;15;RIO DE JANEIRO;RJ;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
FOURTRADE CORRETORA DE CÂMBIO LTDA.;40353377;n2;I;2;;21;RIO DE JANEIRO;RJ;mar/13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LA INVESTIMENTOS - CORRETORA DE CAMBIO E VALORES MOBILIARIOS LTDA.;42066258;n2;I;2;;15;SALVADOR;BA;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS EMPRESAS ITAÚ;43446335;b3S;I;2;;9;SAO PAULO;SP;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
MOEDA SOCIEDADE CORRETORA DE CÂMBIO LTDA.;43653450;n2;I;2;;21;SAO PAULO;SP;mar/13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;44077014;n2;I;2;;16;SAO PAULO;SP;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
BBVA BRASIL BANCO DE INVESTIMENTO S.A.;45283173;b2;I;3;;13;SAO PAULO;SP;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES NA HONEYWELL;46037073;b3S;I;2;;9;SOROCABA;SP;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA TAKATA-PETRI;47944277;b3S;I;2;;9;JUNDIAI;SP;mar/13;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
